Estación	Cod. Pluvio	Fecha	[mm]
Colonia Itapebí	1257	30/9/2016	0.0
Colonia Itapebí	1257	1/10/2016	0.0
Colonia Itapebí	1257	2/10/2016	0.0
Colonia Itapebí	1257	3/10/2016	0.0
Colonia Itapebí	1257	4/10/2016	0.0
Colonia Itapebí	1257	5/10/2016	1.0
Colonia Itapebí	1257	6/10/2016	0.0
Colonia Itapebí	1257	7/10/2016	0.0
Colonia Itapebí	1257	8/10/2016	0.0
Colonia Itapebí	1257	9/10/2016	0.0
Colonia Itapebí	1257	10/10/2016	0.0
Colonia Itapebí	1257	11/10/2016	0.0
Colonia Itapebí	1257	12/10/2016	10.0
Colonia Itapebí	1257	13/10/2016	0.0
Colonia Itapebí	1257	14/10/2016	0.0
Colonia Itapebí	1257	15/10/2016	40.0
Colonia Itapebí	1257	16/10/2016	19.0
Colonia Itapebí	1257	17/10/2016	20.0
Colonia Itapebí	1257	18/10/2016	17.0
Colonia Itapebí	1257	19/10/2016	7.0
Colonia Itapebí	1257	20/10/2016	0.0
Colonia Itapebí	1257	21/10/2016	0.0
Colonia Itapebí	1257	22/10/2016	0.0
Colonia Itapebí	1257	23/10/2016	0.0
Colonia Itapebí	1257	24/10/2016	0.0
Colonia Itapebí	1257	25/10/2016	5.0
Colonia Itapebí	1257	26/10/2016	7.0
Colonia Itapebí	1257	27/10/2016	0.0
Colonia Itapebí	1257	28/10/2016	0.0
Colonia Itapebí	1257	29/10/2016	0.0
Colonia Itapebí	1257	30/10/2016	0.0
Colonia Itapebí	1257	31/10/2016	0.0
Colonia Itapebí	1257	1/11/2016	85.0
Colonia Itapebí	1257	2/11/2016	0.0
Colonia Itapebí	1257	3/11/2016	0.0
Colonia Itapebí	1257	4/11/2016	0.0
Colonia Itapebí	1257	5/11/2016	0.0
Colonia Itapebí	1257	6/11/2016	0.0
Colonia Itapebí	1257	7/11/2016	0.0
Colonia Itapebí	1257	8/11/2016	0.0
Colonia Itapebí	1257	9/11/2016	0.0
Colonia Itapebí	1257	10/11/2016	1.0
Colonia Itapebí	1257	11/11/2016	0.0
Colonia Itapebí	1257	12/11/2016	0.0
Colonia Itapebí	1257	13/11/2016	0.0
