Estación	Cod. Pluvio	Fecha	[mm]
Pueblo Biassini	1232	8/5/2016	0.0
Pueblo Biassini	1232	8/6/2016	0.0
Pueblo Biassini	1232	8/7/2016	0.0
Pueblo Biassini	1232	8/8/2016	0.0
Pueblo Biassini	1232	8/9/2016	0.0
Pueblo Biassini	1232	8/10/2016	0.0
Pueblo Biassini	1232	8/11/2016	0.0
Pueblo Biassini	1232	8/12/2016	0.0
Pueblo Biassini	1232	8/13/2016	0.0
Pueblo Biassini	1232	8/14/2016	0.0
Pueblo Biassini	1232	8/15/2016	0.0
Pueblo Biassini	1232	8/16/2016	35.0
Pueblo Biassini	1232	8/17/2016	0.0
Pueblo Biassini	1232	8/18/2016	0.0
Pueblo Biassini	1232	8/19/2016	0.0
Pueblo Biassini	1232	8/20/2016	0.0
Pueblo Biassini	1232	8/21/2016	0.0
Pueblo Biassini	1232	8/22/2016	0.0
Pueblo Biassini	1232	8/23/2016	0.0
Pueblo Biassini	1232	8/24/2016	0.0
Pueblo Biassini	1232	8/25/2016	0.0
Pueblo Biassini	1232	8/26/2016	0.0
Pueblo Biassini	1232	8/27/2016	45.0
Pueblo Biassini	1232	8/28/2016	0.0
Pueblo Biassini	1232	8/29/2016	10.0
Pueblo Biassini	1232	8/30/2016	0.0
Pueblo Biassini	1232	8/31/2016	0.0
Pueblo Biassini	1232	9/1/2016	6.0
Pueblo Biassini	1232	9/2/2016	16.0
Pueblo Biassini	1232	9/3/2016	3.0
Pueblo Biassini	1232	9/4/2016	15.0
Pueblo Biassini	1232	9/5/2016	8.0
Pueblo Biassini	1232	9/6/2016	0.0
Pueblo Biassini	1232	9/7/2016	0.0
Pueblo Biassini	1232	9/8/2016	0.0
Pueblo Biassini	1232	9/9/2016	0.0
Pueblo Biassini	1232	9/10/2016	0.0
Pueblo Biassini	1232	9/11/2016	0.0
Pueblo Biassini	1232	9/12/2016	8.0
Pueblo Biassini	1232	9/13/2016	0.0
Pueblo Biassini	1232	9/14/2016	0.0
Pueblo Biassini	1232	9/15/2016	0.0
Pueblo Biassini	1232	9/16/2016	0.0
Pueblo Biassini	1232	9/17/2016	0.0
Pueblo Biassini	1232	9/18/2016	0.0
Pueblo Biassini	1232	9/19/2016	0.0
Pueblo Biassini	1232	9/20/2016	0.0
Pueblo Biassini	1232	9/21/2016	0.0
Pueblo Biassini	1232	9/22/2016	0.0
Pueblo Biassini	1232	9/23/2016	0.0
Pueblo Biassini	1232	9/24/2016	0.0
Pueblo Biassini	1232	9/25/2016	0.0
Pueblo Biassini	1232	9/26/2016	0.0
Pueblo Biassini	1232	9/27/2016	0.0
Pueblo Biassini	1232	9/28/2016	0.0
Pueblo Biassini	1232	9/29/2016	0.0
Pueblo Biassini	1232	9/30/2016	0.0
Pueblo Biassini	1232	10/1/2016	0.0
Pueblo Biassini	1232	10/2/2016	0.0
Pueblo Biassini	1232	10/3/2016	0.0
Pueblo Biassini	1232	10/4/2016	0.0
Pueblo Biassini	1232	10/5/2016	1.0
Pueblo Biassini	1232	10/6/2016	0.0
Pueblo Biassini	1232	10/7/2016	0.0
Pueblo Biassini	1232	10/8/2016	0.0
Pueblo Biassini	1232	10/9/2016	0.0
Pueblo Biassini	1232	10/10/2016	0.0
Pueblo Biassini	1232	10/11/2016	0.0
Pueblo Biassini	1232	10/12/2016	20.0
Pueblo Biassini	1232	10/13/2016	0.0
Pueblo Biassini	1232	10/14/2016	0.0
Pueblo Biassini	1232	10/15/2016	57.0
Pueblo Biassini	1232	10/16/2016	55.0
Pueblo Biassini	1232	10/17/2016	15.0
Pueblo Biassini	1232	10/18/2016	5.0
Pueblo Biassini	1232	10/19/2016	6.0
Pueblo Biassini	1232	10/20/2016	0.0
Pueblo Biassini	1232	10/21/2016	0.0
Pueblo Biassini	1232	10/22/2016	0.0
Pueblo Biassini	1232	10/23/2016	0.0
Pueblo Biassini	1232	10/24/2016	5.0
Pueblo Biassini	1232	10/25/2016	25.0
Pueblo Biassini	1232	10/26/2016	5.0
Pueblo Biassini	1232	10/27/2016	0.0
Pueblo Biassini	1232	10/28/2016	0.0
Pueblo Biassini	1232	10/29/2016	0.0
Pueblo Biassini	1232	10/30/2016	0.0
Pueblo Biassini	1232	10/31/2016	0.0
Pueblo Biassini	1232	11/1/2016	70.0
Pueblo Biassini	1232	11/2/2016	0.0
Pueblo Biassini	1232	11/3/2016	0.0
